Supplemental Table 2: Publicly available studies and respective accession IDs.,,
,Study,External ID
1,He,PRJEB9786
2,Esteve-Codina,PRJNA342811
3,Wang,PRJNA391486
4,Necsulea,PRJNA186646
5,Encode,Encode/Encode_GTEx
6,Wood,PRJEB5297
7,Nielsen,PRJNA193501
8,Yan,PRJNA480243
9,Ooi,PRJNA338610
10,Stathias,PRJNA265085
11,Xu,PRJNA586879
12,Patnaik ,PRJEB29932
13,Majewska,PRJNA326064
14,Buckberry ,PRJNA309411
15,Roadmap,PRJNA34535
16,Fang,PRJNA396733
17,Gonzalez,PRJNA429623
18,Pavlicev,PRJNA345611
19,Uhlen,PRJEB6971
20,Wenric,PRJNA399721
21,Havas,PRJEB13586
22,Bradford,PRJEB15096
23,Hooks,PRJNA413799
24,Hon,PRJDB2676
25,Omolo,PRJNA342194
26,Zhu,PRJEB21088
27,Conway,PRJEB6413
28,Jegou,PRJNA301742
29,Zheng,PRJNA311161
30,Wright,PRJNA398545
31,Zhang,PRJNA517729
32,Zheng2,PRJNA429184
33,Liu,PRJNA522931
34,Kumar,PRJNA552058
35,Strong,PRJNA288939
36,Peffers,PRJEB6129
37,Conrad,PRJNA561401
38,Liu2,PRJNA546548
39,Wang2,PRJNA506381
40,Stelloo ,PRJNA494345
41,Severson,PRJNA413693
42,Djureinovic,PRJNA320473
43,Chen,PRJNA552055
44,Suntsova,PRJNA494560
45,Higgs,PRJNA433587
46,Wang3,PRJNA397117
47,Konnikova,PRJNA428476
48,Hanley,PRJNA376161
49,Yang ,PRJNA310654
50,Duff,PRJNA280600
51,Clark,PRJNA261251
52,Rashid,PRJNA542388
53,Pradas-Juni ,PRJNA497098
54,Beck,PRJEB25139
55,Bouquet,PRJNA526259
56,Engqvist,PRJNA393722
57,East-China,PRJNA416439
58,Cui,PRJNA473261
59,Caliskan,PRJNA526249
60,Chhibber,PRJNA288942
61,Pudova,PRJNA477449
62,ParrisåÊ,PRJNA393113
63,Sorenson,PRJNA266512
64,Parker,PRJEB27536
65,Ragulan,PRJNA394898
66,Shengnan,PRJNA594617
67,Capdevila,PRJNA563018
68,Jiang,PRJNA486023
69,Bakr,PRJNA401995
70,Arroyo,PRJNA563806
71,Maag,PRJEB11797
72,Pinskaya,PRJNA474912
73,Teslow,PRJNA411786
74,Miller,PRJNA472161
75,Ravo,PRJEB34507
76,Akter,PRJNA553574
77,Court,PRJNA510124
78,Wang4,PRJNA320312
79,Cloughesy,PRJNA498500
80,Trimarchi,PRJNA248647
81,Ducie,PRJNA396544
82,Riester,PRJNA389596
83,Modur ,PRJNA398334
84,Wang5,PRJNA350320
85,Kim,PRJNA387704
86,Mellough,PRJNA384924
87,Mitra,PRJNA564844
88,Cardoso-Moreira,PRJEB26969
89,Liyanarachchi,PRJNA326252
90,Oezata,PRJNA506245
91,Sureshchandra,PRJNA478464
92,Shao,PRJNA414084
93,Li,PRJNA287623
94,Skaug,PRJNA542095
95,Sherrill,PRJNA450845
96,Tsoi,PRJNA496323
97,Brighton,PRJNA396756
98,Seto,PRJNA600019
99,Msaouel,PRJNA605003
100,Zhou,PRJNA612822
101,Cui2,PRJNA603959
102,Thyroid ,PRJNA643560
103,Xu2,PRJNA607023
104,Paredes,PRJNA608970
105,Bley,PRJNA622728
106,Li2,PRJNA397857
107,Li3,PRJNA394206
108,Breast1,PRJNA607061
109,Suhorutshenko,PRJNA417762
110,Kim2,PRJNA545691
