Supplemental Table 9: Dysregulated ncNATs in cancer cohorts (1 marks dysreguated genes in a tissue).,,,,,,,,,
,Liver,Lung,Thyroid Gland,Prostate,Breast,Brain,Bladder,Kidney,Colon
AS-PTPRE,0,0,0,0,1,0,1,0,0
CHD1-DT,0,0,0,0,0,0,0,0,0
ENSG00000083622.8,0,0,0,0,0,0,0,0,0
ENSG00000099869.8,0,1,0,0,1,0,1,1,1
ENSG00000116652.6,0,0,0,0,0,0,0,0,0
ENSG00000117242.7,0,0,0,0,0,0,0,0,0
ENSG00000120664.11,0,0,0,0,0,1,0,0,0
ENSG00000124915.10,0,0,0,0,0,0,0,0,1
ENSG00000128254.16,0,0,0,0,0,0,0,0,0
ENSG00000136275.10,0,0,0,0,0,0,0,0,0
ENSG00000146666.5,0,1,0,0,1,0,1,1,1
ENSG00000149443.7,0,0,0,0,0,0,0,0,0
ENSG00000152931.9,0,1,1,0,0,0,0,1,0
ENSG00000157306.14,0,0,0,0,0,0,0,0,0
ENSG00000161149.12,1,0,0,1,0,0,0,0,0
ENSG00000162913.10,0,0,0,1,0,0,0,0,0
ENSG00000163081.4,0,0,0,0,0,0,0,0,0
ENSG00000163597.15,0,0,0,0,0,1,0,0,0
ENSG00000163915.7,0,0,0,0,0,0,0,1,0
ENSG00000164621.5,0,0,0,0,0,0,0,0,0
ENSG00000166770.11,0,0,0,0,0,0,0,0,1
ENSG00000167046.4,0,0,0,0,0,0,1,0,1
ENSG00000167912.6,0,0,1,0,1,0,0,1,1
ENSG00000167920.10,0,1,0,0,0,0,0,0,0
ENSG00000170919.16,0,0,0,0,1,0,0,0,0
ENSG00000172460.17,0,0,0,0,0,0,0,0,0
ENSG00000172965.17,1,0,0,0,0,1,0,1,1
ENSG00000173077.16,0,0,0,0,0,0,0,0,1
ENSG00000173811.11,0,0,0,0,0,1,0,0,0
ENSG00000174171.6,1,0,0,1,0,0,0,1,1
ENSG00000174680.10,0,0,0,0,1,0,1,0,0
ENSG00000175061.18,0,0,0,0,0,0,0,0,0
ENSG00000175147.13,0,0,0,1,0,0,0,0,0
ENSG00000175604.2,0,0,0,0,0,0,0,0,0
ENSG00000175611.12,0,0,0,0,0,0,0,0,0
ENSG00000176124.15,1,1,0,0,1,0,1,0,0
ENSG00000176236.6,1,0,0,0,0,0,0,1,0
ENSG00000176349.11,0,0,0,0,0,0,0,0,0
ENSG00000176593.8,0,0,0,0,0,0,0,0,0
ENSG00000176753.5,0,0,0,0,0,0,0,1,0
ENSG00000176912.5,1,1,1,0,1,1,1,0,0
ENSG00000176984.6,0,0,1,0,0,1,0,0,1
ENSG00000177112.8,0,0,0,0,1,1,0,0,0
ENSG00000177337.8,0,0,0,0,0,0,0,0,0
ENSG00000177340.5,0,0,1,0,0,0,0,0,0
ENSG00000177369.9,0,1,0,0,0,0,1,0,0
ENSG00000177406.5,0,0,0,0,0,0,0,0,0
ENSG00000177410.13,0,0,0,0,0,0,0,1,1
ENSG00000177640.16,0,0,0,0,0,0,0,1,0
ENSG00000177699.4,0,0,0,0,1,0,1,1,0
ENSG00000177738.4,1,0,1,0,0,0,0,1,0
ENSG00000177788.6,1,1,0,0,0,0,1,0,0
ENSG00000177822.8,0,0,0,0,1,0,0,0,1
ENSG00000177993.3,0,0,0,0,0,1,1,0,0
ENSG00000178803.12,0,0,0,0,1,0,0,1,0
ENSG00000179141.9,0,1,0,0,0,0,0,0,0
ENSG00000179253.3,0,0,0,0,1,0,1,0,0
ENSG00000179406.8,0,0,0,0,0,0,0,0,0
ENSG00000179428.2,0,0,0,1,1,0,0,1,1
ENSG00000179447.2,0,0,0,0,0,0,0,0,0
ENSG00000179523.5,0,0,0,0,0,0,0,1,0
