Supplemental Table 5: ncNATs tissue association.,,,
gene_id,gene_name,tissue,type
ENSG00000287271.1,AC011455.6,Adipose Tissue_Normal,specific
MSTRG.SL.chr1.197,NA,Adipose Tissue_Normal,specific
MSTRG.SL.chr11.149,NA,Adipose Tissue_Normal,specific
MSTRG.SL.chr16.129,NA,Adipose Tissue_Normal,specific
MSTRG.SL.chr19.169,NA,Adipose Tissue_Normal,specific
MSTRG.SL.chr2.79,NA,Adipose Tissue_Normal,specific
MSTRG.SL.chr5.187,NA,Adipose Tissue_Normal,specific
MSTRG.SL.chr9.142,NA,Adipose Tissue_Normal,specific
NONHSAG057362.1,NA,Adipose Tissue_Normal,specific
NONHSAG079113.1,NA,Adipose Tissue_Normal,specific
NONHSAG085804.1,NA,Adipose Tissue_Normal,specific
ENSG00000204971.3,AP000812.1,Adipose Tissue_Normal,group_enriched
ENSG00000235782.1,AL031429.1,Adipose Tissue_Normal,group_enriched
ENSG00000250990.1,AC098851.1,Adipose Tissue_Normal,group_enriched
ENSG00000253389.2,AC113133.1,Adipose Tissue_Normal,group_enriched
LOC124906218,NA,Adipose Tissue_Normal,group_enriched
MSTRG.SL.chr10.126,NA,Adipose Tissue_Normal,group_enriched
MSTRG.SL.chr12.154,NA,Adipose Tissue_Normal,group_enriched
MSTRG.SL.chr2.42,NA,Adipose Tissue_Normal,group_enriched
NONHSAG057364.1,NA,Adipose Tissue_Normal,group_enriched
NONHSAG087694.1,NA,Adipose Tissue_Normal,group_enriched
ENSG00000177822.8,TENM3-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000188525.4,AC010969.1,Adipose Tissue_Normal,group_enhanced
ENSG00000197301.7,HMGA2-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000203446.2,SUGCT-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000205231.1,TTLL10-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000224228.2,AL031599.1,Adipose Tissue_Normal,group_enhanced
ENSG00000224238.2,WARS2-IT1,Adipose Tissue_Normal,group_enhanced
ENSG00000224919.1,AL591684.1,Adipose Tissue_Normal,group_enhanced
ENSG00000225731.1,PDE9A-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000226482.1,ADIPOQ-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000226709.1,FGF12-AS3,Adipose Tissue_Normal,group_enhanced
ENSG00000227170.1,AF178030.1,Adipose Tissue_Normal,group_enhanced
ENSG00000227591.5,HSD11B1-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000228035.1,NGF-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000228484.3,AL137025.1,Adipose Tissue_Normal,group_enhanced
ENSG00000228677.1,TTC3-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000230126.1,FGF12-AS2,Adipose Tissue_Normal,group_enhanced
ENSG00000230163.1,AL122010.1,Adipose Tissue_Normal,group_enhanced
ENSG00000230290.1,ARMC2-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000230333.6,AC004160.1,Adipose Tissue_Normal,group_enhanced
ENSG00000230435.1,AC004160.2,Adipose Tissue_Normal,group_enhanced
ENSG00000230790.2,AC012456.2,Adipose Tissue_Normal,group_enhanced
ENSG00000232519.2,AL353807.2,Adipose Tissue_Normal,group_enhanced
ENSG00000232821.1,AC003986.2,Adipose Tissue_Normal,group_enhanced
ENSG00000233251.8,AC007743.1,Adipose Tissue_Normal,group_enhanced
ENSG00000233554.6,B4GALT1-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000234076.1,TPRG1-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000234235.1,BOK-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000235434.1,AL391883.1,Adipose Tissue_Normal,group_enhanced
ENSG00000235875.3,ARHGEF7-AS2,Adipose Tissue_Normal,group_enhanced
ENSG00000236333.4,TRHDE-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000237813.4,AC002066.1,Adipose Tissue_Normal,group_enhanced
ENSG00000239593.1,AL513122.2,Adipose Tissue_Normal,group_enhanced
ENSG00000241101.1,PRICKLE2-AS2,Adipose Tissue_Normal,group_enhanced
ENSG00000243018.1,AC005486.1,Adipose Tissue_Normal,group_enhanced
ENSG00000243243.5,AC073130.2,Adipose Tissue_Normal,group_enhanced
ENSG00000246022.3,ALDH1L1-AS2,Adipose Tissue_Normal,group_enhanced
ENSG00000248265.2,FLJ12825,Adipose Tissue_Normal,group_enhanced
ENSG00000248576.1,AC023794.1,Adipose Tissue_Normal,group_enhanced
ENSG00000249307.7,LINC01088,Adipose Tissue_Normal,group_enhanced
ENSG00000250133.2,HOXC-AS2,Adipose Tissue_Normal,group_enhanced
ENSG00000250240.6,AC008840.1,Adipose Tissue_Normal,group_enhanced
ENSG00000250282.1,AC002401.2,Adipose Tissue_Normal,group_enhanced
ENSG00000250354.1,AC069272.1,Adipose Tissue_Normal,group_enhanced
ENSG00000250433.1,CLSTN2-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000250451.5,HOXC-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000250602.6,AC093535.1,Adipose Tissue_Normal,group_enhanced
ENSG00000250802.7,ZBED3-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000250961.2,AC025470.2,Adipose Tissue_Normal,group_enhanced
ENSG00000251257.2,AC010457.1,Adipose Tissue_Normal,group_enhanced
ENSG00000253397.1,AC069113.2,Adipose Tissue_Normal,group_enhanced
ENSG00000254821.1,AL136309.3,Adipose Tissue_Normal,group_enhanced
ENSG00000255471.1,AP001528.1,Adipose Tissue_Normal,group_enhanced
ENSG00000255644.1,AC010185.1,Adipose Tissue_Normal,group_enhanced
ENSG00000255958.1,GABARAPL1-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000256540.1,AC007406.3,Adipose Tissue_Normal,group_enhanced
ENSG00000256564.1,AC007552.2,Adipose Tissue_Normal,group_enhanced
ENSG00000256694.1,AC026369.2,Adipose Tissue_Normal,group_enhanced
ENSG00000257241.1,AC078922.1,Adipose Tissue_Normal,group_enhanced
ENSG00000257258.2,AC012150.1,Adipose Tissue_Normal,group_enhanced
ENSG00000257831.1,AL136418.1,Adipose Tissue_Normal,group_enhanced
ENSG00000258670.1,AL049874.3,Adipose Tissue_Normal,group_enhanced
ENSG00000258745.1,AL358334.3,Adipose Tissue_Normal,group_enhanced
ENSG00000259347.7,AC087482.1,Adipose Tissue_Normal,group_enhanced
ENSG00000259544.1,AC021739.3,Adipose Tissue_Normal,group_enhanced
ENSG00000259813.1,AC138028.3,Adipose Tissue_Normal,group_enhanced
ENSG00000259883.2,EHD4-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000259887.1,FIGNL2-DT,Adipose Tissue_Normal,group_enhanced
ENSG00000260990.1,Z94057.1,Adipose Tissue_Normal,group_enhanced
ENSG00000261707.1,AC092134.1,Adipose Tissue_Normal,group_enhanced
ENSG00000262370.6,AC108134.3,Adipose Tissue_Normal,group_enhanced
ENSG00000263586.1,HID1-AS1,Adipose Tissue_Normal,group_enhanced
ENSG00000264520.1,AC005154.4,Adipose Tissue_Normal,group_enhanced
ENSG00000264647.1,AC104564.4,Adipose Tissue_Normal,group_enhanced
ENSG00000267580.1,AC008738.3,Adipose Tissue_Normal,group_enhanced
ENSG00000267615.1,AC087289.4,Adipose Tissue_Normal,group_enhanced
ENSG00000270953.1,AC007938.3,Adipose Tissue_Normal,group_enhanced
ENSG00000272609.1,AC016252.1,Adipose Tissue_Normal,group_enhanced
ENSG00000272789.1,AC010976.2,Adipose Tissue_Normal,group_enhanced
ENSG00000272851.1,AC096772.1,Adipose Tissue_Normal,group_enhanced
ENSG00000272865.2,AL591686.2,Adipose Tissue_Normal,group_enhanced
ENSG00000273264.1,AL360219.1,Adipose Tissue_Normal,group_enhanced
ENSG00000275025.1,AC002401.3,Adipose Tissue_Normal,group_enhanced
ENSG00000275186.1,AC018445.1,Adipose Tissue_Normal,group_enhanced
ENSG00000275278.1,AC012150.2,Adipose Tissue_Normal,group_enhanced
ENSG00000278981.1,AC079298.1,Adipose Tissue_Normal,group_enhanced
ENSG00000279040.1,AC090617.6,Adipose Tissue_Normal,group_enhanced
ENSG00000279174.1,AC104581.3,Adipose Tissue_Normal,group_enhanced
ENSG00000279444.1,AC135584.1,Adipose Tissue_Normal,group_enhanced
ENSG00000280005.1,AC079298.2,Adipose Tissue_Normal,group_enhanced
ENSG00000280339.1,AP001528.2,Adipose Tissue_Normal,group_enhanced
ENSG00000285719.2,AL356275.1,Adipose Tissue_Normal,group_enhanced
ENSG00000286492.1,AC117509.1,Adipose Tissue_Normal,group_enhanced
ENSG00000286805.1,AL138716.1,Adipose Tissue_Normal,group_enhanced
ENSG00000287986.1,AL135841.1,Adipose Tissue_Normal,group_enhanced
ENSG00000288686.1,XGY2,Adipose Tissue_Normal,group_enhanced
LOC101927788,NA,Adipose Tissue_Normal,group_enhanced
LOC101928146,NA,Adipose Tissue_Normal,group_enhanced
LOC101928362,NA,Adipose Tissue_Normal,group_enhanced
LOC102723436,NA,Adipose Tissue_Normal,group_enhanced
LOC102724102,NA,Adipose Tissue_Normal,group_enhanced
LOC105369532,NA,Adipose Tissue_Normal,group_enhanced
LOC105369752,NA,Adipose Tissue_Normal,group_enhanced
LOC105369775,NA,Adipose Tissue_Normal,group_enhanced
LOC105369974,NA,Adipose Tissue_Normal,group_enhanced
LOC105369983,NA,Adipose Tissue_Normal,group_enhanced
LOC105372499,NA,Adipose Tissue_Normal,group_enhanced
LOC105373974,NA,Adipose Tissue_Normal,group_enhanced
LOC105375727,NA,Adipose Tissue_Normal,group_enhanced
LOC105376926,NA,Adipose Tissue_Normal,group_enhanced
LOC107985219,NA,Adipose Tissue_Normal,group_enhanced
LOC107986475,NA,Adipose Tissue_Normal,group_enhanced
LOC107987221,NA,Adipose Tissue_Normal,group_enhanced
LOC124900659,NA,Adipose Tissue_Normal,group_enhanced
LOC124901675,NA,Adipose Tissue_Normal,group_enhanced
LOC124903202,NA,Adipose Tissue_Normal,group_enhanced
LOC124903208,NA,Adipose Tissue_Normal,group_enhanced
LOC124903866,NA,Adipose Tissue_Normal,group_enhanced
LOC124904692,NA,Adipose Tissue_Normal,group_enhanced
LOC124905205,NA,Adipose Tissue_Normal,group_enhanced
LOC124906099,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr1.113,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr1.198,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr1.223,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr10.163,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr10.8,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr10.86,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr11.10,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr11.102,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr11.68,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr13.38,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr14.17,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr14.64,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr16.36,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr17.113,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr17.16,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr19.144,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr19.145,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr2.60,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr20.62,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr21.21,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr3.59,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr4.13,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr4.8,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr5.124,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr6.100,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr6.116,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr6.133,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr7.127,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr7.49,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr8.21,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr8.41,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr8.70,NA,Adipose Tissue_Normal,group_enhanced
MSTRG.SL.chr8.76,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG002385.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG007437.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG010377.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG011562.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG016451.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG022430.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG032123.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG033909.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG042527.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG043206.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG044406.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG053189.3,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG053940.3,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG054588.2,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG056298.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG056385.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG056598.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG056908.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG057772.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG058546.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG064595.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG064741.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG065443.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG065527.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG068823.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG071780.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG073123.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG073536.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG075022.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG075159.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG076568.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG083891.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG084633.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG087917.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG090412.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG096962.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG097281.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG097429.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG098652.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG103759.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG106156.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG107788.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG110489.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG110744.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG111030.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG111244.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG111355.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG112352.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG112960.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG113883.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG114021.1,NA,Adipose Tissue_Normal,group_enhanced
NONHSAG114130.1,NA,Adipose Tissue_Normal,group_enhanced
ENSG00000224525.2,AL591686.1,Adipose Tissue_Normal,enriched
ENSG00000243810.1,CFAP61-AS1,Adipose Tissue_Normal,enriched
ENSG00000257181.1,AC025423.4,Adipose Tissue_Normal,enriched
ENSG00000258545.6,RHOXF1-AS1,Adipose Tissue_Normal,enriched
ENSG00000267653.1,AC002546.1,Adipose Tissue_Normal,enriched
ENSG00000286153.1,AP000331.1,Adipose Tissue_Normal,enriched
ENSG00000286322.1,AL356218.2,Adipose Tissue_Normal,enriched
LOC102724120,NA,Adipose Tissue_Normal,enriched
LOC105372492,NA,Adipose Tissue_Normal,enriched
MSTRG.SL.chr20.18,NA,Adipose Tissue_Normal,enriched
MSTRG.SL.chr6.165,NA,Adipose Tissue_Normal,enriched
NONHSAG006162.2,NA,Adipose Tissue_Normal,enriched
ENSG00000136275.10,C7orf69,Adipose Tissue_Normal,enhanced
ENSG00000183154.1,AC138356.1,Adipose Tissue_Normal,enhanced
ENSG00000197291.9,RAMP2-AS1,Adipose Tissue_Normal,enhanced
ENSG00000204850.4,AC011484.1,Adipose Tissue_Normal,enhanced
ENSG00000205018.2,AC092384.1,Adipose Tissue_Normal,enhanced
ENSG00000213904.9,LIPE-AS1,Adipose Tissue_Normal,enhanced
ENSG00000224821.5,COL4A2-AS2,Adipose Tissue_Normal,enhanced
ENSG00000226031.5,FGF13-AS1,Adipose Tissue_Normal,enhanced
ENSG00000229673.1,Z73495.1,Adipose Tissue_Normal,enhanced
ENSG00000229862.5,AL121972.1,Adipose Tissue_Normal,enhanced
ENSG00000230148.8,HOXB-AS1,Adipose Tissue_Normal,enhanced
ENSG00000232878.3,DPYD-AS1,Adipose Tissue_Normal,enhanced
ENSG00000233427.1,AL009181.1,Adipose Tissue_Normal,enhanced
ENSG00000234396.3,AL590822.1,Adipose Tissue_Normal,enhanced
ENSG00000234504.2,AL353801.2,Adipose Tissue_Normal,enhanced
ENSG00000249532.5,MIR302CHG,Adipose Tissue_Normal,enhanced
