Supplemental Table 3: Known and putative novel ncNATs and their partner genes. ,,,,,,,
# Note to gene_id prefixes:,,,,,,,
# ENSG* - Ensembl/GENCODE genes,,,,,,,
# NONH* - Noncode genes,,,,,,,
# MSTRG* - Novel genes,,,,,,,
# Other - RefSeq genes,,,,,,,
,gene_id,seqnames,start,end,strand,gene_name,partners
1,ENSG00000224969.1,chr1,1011997,1013193,-,AL645608.1,ENSG00000187608.10
2,ENSG00000285812.1,chr1,1097585,1104598,+,AL390719.3,ENSG00000131591.18
3,ENSG00000205231.1,chr1,1173056,1179555,-,TTLL10-AS1,ENSG00000162571.14
4,ENSG00000224870.7,chr1,1399520,1402046,+,MRPL20-AS1,ENSG00000242485.6
5,ENSG00000225905.1,chr1,1420245,1422691,+,AL391244.1,ENSG00000235098.9
6,ENSG00000215014.5,chr1,1574102,1577075,+,AL645728.1,ENSG00000160075.12
7,ENSG00000272106.1,chr1,1613758,1615795,-,AL691432.2,ENSG00000197530.12
8,ENSG00000272004.1,chr1,1659325,1662602,+,FO704657.1,ENSG00000189339.12
9,ENSG00000271806.1,chr1,2141084,2145279,-,AL590822.2,ENSG00000067606.17
10,ENSG00000182873.5,chr1,2181794,2184389,-,PRKCZ-AS1,ENSG00000067606.17
11,ENSG00000234396.3,chr1,2212523,2220738,+,AL590822.1,ENSG00000162585.17
12,ENSG00000287356.1,chr1,2315040,2323085,+,AL590822.3,ENSG00000116151.14
13,ENSG00000224387.1,chr1,2492300,2493258,-,AL139246.1,ENSG00000149527.18
14,ENSG00000229393.1,chr1,2493437,2494479,-,AL139246.4,ENSG00000149527.18
15,ENSG00000272449.2,chr1,2530064,2547460,+,AL139246.5,ENSG00000197921.6
16,ENSG00000238164.6,chr1,2549920,2557031,-,TNFRSF14-AS1,ENSG00000157873.18
17,ENSG00000237058.1,chr1,2632568,2636620,+,MMEL1-AS1,ENSG00000215912.12
18,ENSG00000237058.1,chr1,2632568,2636620,+,MMEL1-AS1,ENSG00000142606.16
19,ENSG00000285945.1,chr1,2768091,2784733,+,AC242022.2,ENSG00000215912.12
20,ENSG00000283259.1,chr1,2773603,2776473,+,AC242022.1,ENSG00000215912.12
21,ENSG00000226286.1,chr1,3132927,3133709,-,AL008733.1,ENSG00000142611.17
22,ENSG00000272235.1,chr1,3306636,3310096,-,AL590438.1,ENSG00000142611.17
23,ENSG00000287828.1,chr1,3313052,3323149,-,AL354743.2,ENSG00000142611.17
24,ENSG00000286518.1,chr1,3367815,3373928,-,AL354743.1,ENSG00000142611.17
25,ENSG00000227589.1,chr1,3658938,3668772,-,TP73-AS3,ENSG00000078900.15
26,ENSG00000235131.1,chr1,3712200,3714298,-,TP73-AS2,ENSG00000078900.15
27,ENSG00000272153.1,chr1,3785008,3785538,+,AL365330.1,ENSG00000130764.10
28,ENSG00000287586.1,chr1,4730211,4734992,-,Z98886.1,ENSG00000196581.11
29,ENSG00000226944.1,chr1,6204840,6205780,-,RNF207-AS1,ENSG00000158286.13
30,ENSG00000225077.3,chr1,6234692,6239444,+,LINC00337,ENSG00000116237.16
31,ENSG00000271746.1,chr1,6393555,6394391,+,AL031848.2,ENSG00000097021.20
32,ENSG00000231868.1,chr1,6443034,6447006,-,AL031848.1,ENSG00000187017.17
33,ENSG00000237728.2,chr1,7382487,7389754,-,CAMTA1-AS2,ENSG00000171735.19
34,ENSG00000225126.1,chr1,7441096,7441554,-,CAMTA1-AS1,ENSG00000171735.19
35,ENSG00000270171.1,chr1,7693124,7694844,-,AL359881.3,ENSG00000171735.19
36,ENSG00000270035.1,chr1,7698303,7698872,-,AL359881.2,ENSG00000171735.19
37,ENSG00000269978.1,chr1,7700704,7700970,-,AL359881.1,ENSG00000171735.19
38,ENSG00000236266.1,chr1,7810242,7827342,-,Z98884.1,ENSG00000049246.14
39,ENSG00000284747.1,chr1,7991134,8005312,+,AL034417.4,ENSG00000116285.13
40,ENSG00000232912.6,chr1,8424645,8435013,+,RERE-AS1,ENSG00000142599.19
41,ENSG00000230679.1,chr1,8878835,8879894,+,ENO1-AS1,ENSG00000074800.16
42,ENSG00000179840.5,chr1,9652610,9654586,-,PIK3CD-AS1,ENSG00000171608.16
